Fullstate,State,MoreDefined
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
Alabama,AL,Partisan
